103.160.204.10		 in :  ALL
103.160.204.120		 in :  ALL
103.160.204.131		 in :  ALL
103.160.204.2		 in :  ALL
103.160.204.20		 in :  ALL
103.160.204.23		 in :  ALL
103.160.204.60		 in :  ALL
103.169.142.136		 in :  ALL
104.16.157.46		 in :  ALL MKB
104.16.184.52		 in :  ALL MKB
104.16.20.26		 in :  ALL MKB TEST
104.16.71.73		 in :  ALL MKB
104.17.101.84		 in :  ALL MKB
104.17.113.89		 in :  ALL MKB
104.17.151.192		 in :  ALL MKB
104.17.32.105		 in :  ALL
104.19.170.21		 in :  ALL MKB
104.19.199.84		 in :  ALL MKB
104.19.211.42		 in :  ALL MKB
104.20.37.27		 in :  ALL MKB
104.23.142.9		 in :  ALL
104.254.140.158		 in :  ALL
104.254.140.184		 in :  ALL
104.254.140.239		 in :  ALL
104.254.140.29		 in :  ALL
104.254.140.32		 in :  ALL
104.254.140.38		 in :  ALL
108.165.216.120		 in :  ALL
108.165.216.149		 in :  ALL
108.165.216.52		 in :  ALL
108.165.216.90		 in :  ALL
141.193.213.12		 in :  ALL
141.193.213.95		 in :  ALL
147.185.161.106		 in :  ALL
147.185.161.132		 in :  ALL
147.185.161.172		 in :  ALL
147.185.161.223		 in :  ALL
147.185.161.51		 in :  ALL
147.185.161.60		 in :  ALL
147.78.140.102		 in :  ALL
154.83.2.157		 in :  ALL
154.83.2.175		 in :  ALL
154.83.2.233		 in :  ALL
154.83.2.37		 in :  ALL
154.83.2.39		 in :  ALL
154.83.2.52		 in :  ALL
154.83.2.85		 in :  ALL
154.83.2.89		 in :  ALL
154.84.175.108		 in :  ALL
154.84.175.181		 in :  ALL MKB
154.84.175.227		 in :  ALL
154.84.175.97		 in :  ALL
154.85.99.15		 in :  ALL
154.85.99.216		 in :  ALL
154.85.99.29		 in :  ALL
154.85.99.30		 in :  ALL
154.85.99.60		 in :  ALL
159.112.235.233		 in :  ALL
159.112.235.51		 in :  ALL
159.112.235.83		 in :  ALL
159.246.55.16		 in :  ALL
159.246.55.37		 in :  ALL
160.153.0.45		 in :  ALL
160.153.0.63		 in :  ALL
160.153.0.9		 in :  ALL
160.153.0.90		 in :  ALL
162.159.136.232		 in :  ALL MKB TEST
168.100.6.22		 in :  ALL
168.100.6.245		 in :  ALL
168.100.6.29		 in :  ALL
168.100.6.38		 in :  ALL MKB
170.114.45.34		 in :  ALL
170.114.46.125		 in :  ALL
170.114.46.144		 in :  ALL
170.114.46.54		 in :  ALL
185.109.21.104		 in :  ALL
185.109.21.160		 in :  ALL
185.109.21.18		 in :  ALL
185.109.21.19		 in :  ALL
185.109.21.225		 in :  ALL
185.109.21.28		 in :  ALL
185.109.21.32		 in :  ALL
185.109.21.68		 in :  ALL
185.109.21.7		 in :  ALL
185.148.104.102		 in :  ALL
185.148.104.154		 in :  ALL
185.148.105.163		 in :  ALL
185.148.105.178		 in :  ALL
185.148.105.242		 in :  ALL
185.148.106.213		 in :  ALL
185.148.107.176		 in :  ALL
185.148.107.180		 in :  ALL
185.148.107.19		 in :  ALL
185.148.107.202		 in :  ALL
185.148.107.203		 in :  ALL
185.148.107.213		 in :  ALL
185.148.107.76		 in :  ALL
185.162.228.203		 in :  ALL
185.162.228.23		 in :  ALL
185.162.228.27		 in :  ALL
185.162.228.54		 in :  ALL
185.162.228.68		 in :  ALL
185.162.228.85		 in :  ALL
185.162.229.100		 in :  ALL
185.162.229.202		 in :  ALL
185.162.229.209		 in :  ALL
185.162.229.237		 in :  ALL
185.162.230.52		 in :  ALL
185.162.231.113		 in :  ALL
185.162.231.128		 in :  ALL
185.162.231.146		 in :  ALL
185.162.231.219		 in :  ALL
185.162.231.58		 in :  ALL
185.162.231.60		 in :  ALL
185.170.166.101		 in :  ALL
185.170.166.154		 in :  ALL
185.170.166.199		 in :  ALL
185.170.166.3		 in :  ALL
185.174.138.14		 in :  ALL
185.174.138.148		 in :  ALL
185.174.138.247		 in :  ALL
185.174.138.45		 in :  ALL
185.174.138.56		 in :  ALL
185.174.138.81		 in :  ALL
185.176.24.25		 in :  ALL
185.176.24.31		 in :  ALL
185.176.24.74		 in :  ALL
185.176.26.173		 in :  ALL
185.176.26.67		 in :  ALL
185.18.250.35		 in :  ALL
185.18.250.5		 in :  ALL
185.193.28.27		 in :  ALL
185.193.28.44		 in :  ALL
185.193.28.90		 in :  ALL
185.193.29.20		 in :  ALL
185.193.29.24		 in :  ALL
185.193.29.34		 in :  ALL
185.193.29.47		 in :  ALL
185.193.30.34		 in :  ALL
185.193.30.41		 in :  ALL
185.193.30.62		 in :  ALL
185.201.139.11		 in :  ALL
185.201.139.164		 in :  ALL
185.201.139.192		 in :  ALL
185.201.139.193		 in :  ALL
185.201.139.234		 in :  ALL
185.201.139.241		 in :  ALL
185.201.139.247		 in :  ALL
185.201.139.27		 in :  ALL
185.221.160.156		 in :  ALL
185.221.160.160		 in :  ALL
185.221.160.239		 in :  ALL
185.221.160.3		 in :  ALL
185.238.228.10		 in :  ALL
185.238.228.137		 in :  ALL
185.238.228.14		 in :  ALL
185.238.228.148		 in :  ALL
185.238.228.230		 in :  ALL
185.238.228.253		 in :  ALL
185.238.228.4		 in :  ALL
185.238.228.45		 in :  ALL
185.238.228.48		 in :  ALL
185.238.228.97		 in :  ALL
185.59.218.103		 in :  ALL
185.59.218.30		 in :  ALL
185.72.49.102		 in :  ALL
185.72.49.103		 in :  ALL
185.72.49.151		 in :  ALL
188.42.88.163		 in :  ALL
188.42.88.166		 in :  ALL
188.42.88.212		 in :  ALL
188.42.88.219		 in :  ALL
188.42.88.220		 in :  ALL
188.42.88.231		 in :  ALL
188.42.88.237		 in :  ALL
188.42.88.49		 in :  ALL
188.42.88.53		 in :  ALL
188.42.88.63		 in :  ALL
188.42.88.65		 in :  ALL
188.42.88.8		 in :  ALL
188.42.89.11		 in :  ALL
188.42.89.136		 in :  ALL
188.42.89.165		 in :  ALL
188.42.89.178		 in :  ALL
188.42.89.183		 in :  ALL
188.42.89.34		 in :  ALL
188.42.89.52		 in :  ALL
188.42.89.61		 in :  ALL
188.42.89.64		 in :  ALL
188.42.89.68		 in :  ALL
191.101.251.122		 in :  ALL
191.101.251.126		 in :  ALL
191.101.251.137		 in :  ALL
191.101.251.180		 in :  ALL
191.101.251.213		 in :  ALL
191.101.251.236		 in :  ALL
191.101.251.249		 in :  ALL
191.101.251.25		 in :  ALL
191.101.251.30		 in :  ALL
192.65.217.14		 in :  ALL
192.65.217.194		 in :  ALL
193.227.99.233		 in :  ALL
193.9.49.174		 in :  ALL
193.9.49.185		 in :  ALL
193.9.49.36		 in :  ALL
193.9.49.88		 in :  ALL
193.9.49.93		 in :  ALL
194.152.44.31		 in :  ALL
194.152.44.53		 in :  ALL
194.36.55.10		 in :  ALL
194.36.55.144		 in :  ALL
194.53.53.137		 in :  ALL
194.53.53.53		 in :  ALL
195.137.167.10		 in :  ALL
195.137.167.30		 in :  ALL
195.137.167.81		 in :  ALL
195.137.167.99		 in :  ALL
195.245.221.18		 in :  ALL
195.85.23.109		 in :  ALL
195.85.23.11		 in :  ALL
195.85.23.205		 in :  ALL
195.85.23.208		 in :  ALL
195.85.23.58		 in :  ALL
195.85.23.95		 in :  ALL
195.85.59.12		 in :  ALL
195.85.59.224		 in :  ALL
195.85.59.238		 in :  ALL
195.85.59.45		 in :  ALL
195.85.59.5		 in :  ALL
198.41.215.16		 in :  ALL MKB
199.181.197.120		 in :  ALL
199.181.197.134		 in :  ALL
199.181.197.164		 in :  ALL
199.181.197.165		 in :  ALL
199.181.197.174		 in :  ALL
199.181.197.212		 in :  ALL
199.181.197.219		 in :  ALL
199.181.197.249		 in :  ALL
199.181.197.252		 in :  ALL
199.181.197.65		 in :  ALL MKB
199.181.197.68		 in :  ALL
199.181.197.87		 in :  ALL
199.212.90.198		 in :  ALL
199.212.90.24		 in :  ALL
199.212.90.31		 in :  ALL
199.212.90.41		 in :  ALL
203.13.32.120		 in :  ALL
203.13.32.148		 in :  ALL
203.13.32.205		 in :  ALL
203.13.32.235		 in :  ALL
203.13.32.45		 in :  ALL
203.17.126.147		 in :  ALL
203.17.126.208		 in :  ALL
203.17.126.24		 in :  ALL
203.17.126.57		 in :  ALL
203.17.126.65		 in :  ALL MKB
203.22.223.110		 in :  ALL MKB
203.22.223.42		 in :  ALL
203.23.103.171		 in :  ALL
203.23.103.26		 in :  ALL
203.23.103.9		 in :  ALL
203.24.102.31		 in :  ALL
203.24.102.60		 in :  ALL
203.24.103.109		 in :  ALL
203.24.103.145		 in :  ALL
203.24.103.17		 in :  ALL
203.24.103.225		 in :  ALL
203.24.103.36		 in :  ALL
203.24.108.161		 in :  ALL
